athlete_id,session_id,date,speed_mps,speed_kmh,cadence_spm,contact_time_ms,flight_time_ms,asymmetry_pct,vertical_loading_rate_bw_s,vertical_force_peak_bw_proxy,lateral_force_peak_bw_proxy,braking_force_peak_bw_proxy,propulsive_force_peak_bw_proxy,power_wkg_proxy,calf_load_contact_bw,calf_load_uplift_bw,quadriceps_load_contact_bw,hamstring_load_uplift_bw,muscle_load_index,global_risk_probability_14d,future_pain_or_modification_14d,not_medical_diagnosis
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,2026-01-07,2.7,9.72,186.24,292.53,66.05,4.504,86.3,2.2031,0.0971,0.1789,0.2328,3.284,1.833,2.1098,1.629,1.2131,0.8481,0.7189,0,True
ATH_WIFI_001,ATH_WIFI_001_S01_3.0mps,2026-01-07,3.0,10.8,185.99,289.25,65.71,3.88,84.846,2.2279,0.0863,0.2203,0.2582,3.184,1.8063,2.1236,1.6838,1.444,0.8822,0.6811,0,True
ATH_WIFI_001,ATH_WIFI_001_S01_3.3mps,2026-01-07,3.3,11.88,187.99,275.19,75.01,4.86,81.047,2.369,0.0922,0.2293,0.3025,3.565,1.9605,2.2594,1.5423,1.3695,0.8915,0.6922,0,True
ATH_WIFI_001,ATH_WIFI_001_S01_3.7mps,2026-01-07,3.7,13.32,195.56,275.17,79.85,5.238,84.201,2.3373,0.1023,0.247,0.2999,3.812,1.9369,2.2786,1.6884,1.4297,0.9167,0.8184,0,True
ATH_WIFI_001,ATH_WIFI_001_S02_2.7mps,2026-01-12,2.7,9.72,184.91,305.62,68.35,4.031,87.271,2.2491,0.0954,0.1682,0.2542,3.119,1.859,2.0543,1.6229,1.4136,0.8687,0.8023,0,True
ATH_WIFI_001,ATH_WIFI_001_S02_3.0mps,2026-01-12,3.0,10.8,186.37,301.81,63.6,3.933,88.406,2.3986,0.0988,0.1944,0.2275,3.117,1.9698,2.1003,1.8255,1.4342,0.9162,0.806,0,True
ATH_WIFI_001,ATH_WIFI_001_S02_3.3mps,2026-01-12,3.3,11.88,188.79,299.09,71.6,4.323,86.359,2.3235,0.086,0.2002,0.2864,3.41,2.0506,2.2268,1.6558,1.4494,0.9228,0.8061,1,True
ATH_WIFI_001,ATH_WIFI_001_S02_3.7mps,2026-01-12,3.7,13.32,190.95,284.01,78.88,4.71,90.806,2.3282,0.0957,0.2701,0.2822,3.417,2.0923,2.3111,1.7243,1.5874,0.9644,0.8976,0,True
ATH_WIFI_002,ATH_WIFI_002_S01_2.7mps,2026-01-05,2.7,9.72,188.69,295.57,63.86,4.735,83.024,2.2485,0.0817,0.221,0.2735,2.985,1.7316,2.0052,1.5255,1.2505,0.8141,0.7366,0,True
ATH_WIFI_002,ATH_WIFI_002_S01_3.0mps,2026-01-05,3.0,10.8,181.73,289.36,76.52,3.701,91.176,2.1293,0.0922,0.2008,0.2559,3.346,1.8113,2.0856,1.5992,1.4334,0.8662,0.7561,1,True
ATH_WIFI_002,ATH_WIFI_002_S01_3.3mps,2026-01-05,3.3,11.88,191.31,280.83,73.62,3.991,91.081,2.2405,0.0807,0.2292,0.2987,3.836,1.9657,2.0409,1.6173,1.5245,0.8936,0.766,0,True
ATH_WIFI_002,ATH_WIFI_002_S01_3.7mps,2026-01-05,3.7,13.32,193.37,264.25,76.03,4.841,90.253,2.3381,0.0968,0.2296,0.3236,3.61,1.9562,2.3057,1.771,1.4446,0.9347,0.8611,0,True
ATH_WIFI_002,ATH_WIFI_002_S02_2.7mps,2026-01-14,2.7,9.72,185.8,305.7,57.18,5.812,84.221,2.291,0.1076,0.1638,0.2186,2.67,1.9482,2.0278,1.8342,1.4131,0.9029,0.8572,1,True
ATH_WIFI_002,ATH_WIFI_002_S02_3.0mps,2026-01-14,3.0,10.8,184.04,292.32,65.03,5.172,78.485,2.3041,0.1143,0.2102,0.2712,3.332,1.8851,2.1135,1.7913,1.4432,0.9041,0.8095,1,True
ATH_WIFI_002,ATH_WIFI_002_S02_3.3mps,2026-01-14,3.3,11.88,188.27,292.36,65.91,6.018,90.415,2.3105,0.0837,0.2258,0.3026,3.226,1.9618,2.1448,1.8577,1.3898,0.9193,0.8879,1,True
ATH_WIFI_002,ATH_WIFI_002_S02_3.7mps,2026-01-14,3.7,13.32,195.16,276.07,75.13,5.536,93.484,2.4785,0.1246,0.2407,0.3244,3.935,2.1724,2.1593,1.9114,1.6742,0.9897,0.9,0,True
ATH_WIFI_003,ATH_WIFI_003_S01_2.7mps,2026-01-07,2.7,9.72,185.41,299.87,65.88,4.006,86.578,2.1927,0.0847,0.1631,0.2185,3.175,1.7789,2.1932,1.7216,1.3804,0.8843,0.7658,0,True
ATH_WIFI_003,ATH_WIFI_003_S01_3.0mps,2026-01-07,3.0,10.8,183.72,298.6,61.64,3.952,88.341,2.2978,0.0855,0.1849,0.2698,3.428,1.9443,2.1629,1.7813,1.3812,0.9087,0.7757,1,True
ATH_WIFI_003,ATH_WIFI_003_S01_3.3mps,2026-01-07,3.3,11.88,192.26,289.45,68.13,4.138,89.663,2.3433,0.096,0.2119,0.2816,3.604,2.0082,2.1644,1.7048,1.4967,0.9218,0.7905,0,True
ATH_WIFI_003,ATH_WIFI_003_S01_3.7mps,2026-01-07,3.7,13.32,192.24,281.61,75.63,4.752,96.8,2.4389,0.0985,0.2514,0.2998,3.883,2.0642,2.2705,1.7256,1.6106,0.9589,0.9,0,True
ATH_WIFI_003,ATH_WIFI_003_S02_2.7mps,2026-01-14,2.7,9.72,184.9,290.07,63.64,1.013,80.093,2.273,0.0572,0.1781,0.2513,2.939,1.6344,1.9953,1.6639,1.2816,0.8219,0.4187,0,True
ATH_WIFI_003,ATH_WIFI_003_S02_3.0mps,2026-01-14,3.0,10.8,187.92,290.63,67.13,1.204,79.018,2.282,0.0918,0.2064,0.2565,3.106,1.7327,2.0114,1.6791,1.4458,0.8586,0.418,0,True
ATH_WIFI_003,ATH_WIFI_003_S02_3.3mps,2026-01-14,3.3,11.88,187.84,273.17,77.68,2.051,83.337,2.2807,0.0885,0.219,0.2987,3.403,1.8762,2.047,1.7372,1.3988,0.8824,0.5007,0,True
ATH_WIFI_003,ATH_WIFI_003_S02_3.7mps,2026-01-14,3.7,13.32,195.28,262.82,79.2,1.857,90.937,2.2663,0.0545,0.2292,0.3011,3.972,1.8319,2.167,1.6679,1.4514,0.8898,0.6797,0,True
ATH_WIFI_004,ATH_WIFI_004_S01_2.7mps,2026-01-06,2.7,9.72,182.92,308.49,59.29,1.727,80.212,2.2635,0.0801,0.1819,0.2547,2.818,1.8112,2.1066,1.752,1.3812,0.8814,0.5496,1,True
