athlete_id,session_id,room_id,sensor_geometry,speed_mps,speed_kmh,window_id,window_start_s,window_end_s,cadence_spm,contact_time_ms,flight_time_ms,asymmetry_pct,fatigue_score_1_10,dominant_doppler_proxy_hz,harmonic_energy_ratio,rf_snr_db,multipath_score,rf_signal_quality,vertical_force_peak_bw_proxy,lateral_force_peak_bw_proxy,braking_force_peak_bw_proxy,propulsive_force_peak_bw_proxy,vertical_loading_rate_bw_s,calf_load_contact_bw,calf_load_uplift_bw,quadriceps_load_contact_bw,hamstring_load_uplift_bw,muscle_load_index,power_wkg_proxy,global_risk_probability_14d,future_pain_or_modification_14d,simulated
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,0,0.0,1.0,186.24,292.53,66.05,4.504,2.12,1.0,0.27145,23.543,0.1629,0.8359,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,1,1.0,2.0,186.24,292.53,66.05,4.504,2.12,2.0,0.32081,21.73,0.1629,0.7051,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,2,2.0,3.0,186.24,292.53,66.05,4.504,2.12,2.0,0.24352,30.523,0.1629,0.843,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,3,3.0,4.0,186.24,292.53,66.05,4.504,2.12,2.0,0.32161,25.844,0.1629,0.8147,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,4,4.0,5.0,186.24,292.53,66.05,4.504,2.12,2.0,0.28599,29.081,0.1629,0.8164,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,5,5.0,6.0,186.24,292.53,66.05,4.504,2.12,2.0,0.29596,20.657,0.1629,0.8025,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,6,6.0,7.0,186.24,292.53,66.05,4.504,2.12,2.0,0.3125,34.459,0.1629,0.8637,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,7,7.0,8.0,186.24,292.53,66.05,4.504,2.12,1.0,0.26534,24.985,0.1629,0.8075,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,8,8.0,9.0,186.24,292.53,66.05,4.504,2.12,2.0,0.3408,24.496,0.1629,0.7638,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
ATH_WIFI_001,ATH_WIFI_001_S01_2.7mps,lab_C,front_back,2.7,9.72,9,9.0,10.0,186.24,292.53,66.05,4.504,2.12,1.0,0.29548,22.059,0.1629,0.8541,2.2031,0.0971,0.1789,0.2328,86.3,1.833,2.1098,1.629,1.2131,0.8481,3.284,0.7189,0,1
